id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
560,2025,Indian Express - Entertainment,560,Lakshmi Manchu recalls being touched inappropriately at 15: ‘Sometimes people will want to mess with you…’,,,Lakshmi Manchu;Mohan Babu,https://indianexpress.com/article/entertainment/telugu/mohan-babu-daughter-actress-lakshmi-manchu-recalls-being-touched-inappropriately-at-15-10368630/
561,2025,Indian Express - Entertainment,561,SS Rajamouli says ‘I don’t believe in God’ amid glitches and leaks at Varanasi event,,,SS Rajamouli;Varanasi Movie,https://indianexpress.com/article/entertainment/telugu/ss-rajamouli-dont-believe-in-god-varanasi-hyderabad-event-lord-hanuman-10368890/
562,2025,Indian Express - Entertainment,562,SS Rajamouli says a sequence of Varanasi is inspired by Ramayana: ‘Mahesh Babu has charm of Krishna but calmness of Rama…’,,,Baahubali;Mahesh Babu;Priyanka Chopra;Rama;Ramayana;RRR;SS Rajamouli;Varanasi,https://indianexpress.com/article/entertainment/telugu/ss-rajamouli-says-a-sequence-of-varanasi-is-inspired-by-the-ramayana-mahesh-babu-has-charm-of-krishna-10368511/
563,2025,Indian Express - Entertainment,563,Varanasi teaser: Mahesh Babu to play Rudhra in SS Rajamouli’s time-travel adventure,,,Mahesh Babu;Prithviraj Sukumaran;Priyanka Chopra;SS Rajamouli,https://indianexpress.com/article/entertainment/telugu/varanasi-teaser-mahesh-babu-to-play-rudhra-in-ss-rajamoulis-time-travel-adventure-10367808/
564,2025,Indian Express - Entertainment,564,"Baazigar writer says nobody believed in Shah Rukh Khan-starrer, was told audience won’t accept such a protagonist: ‘SRK said I will pull it off’",,,Baazigar,https://indianexpress.com/article/entertainment/bollywood/baazigar-writer-says-nobody-believed-in-shah-rukh-khan-starrer-was-told-audience-wont-accept-such-a-protagonist-10366095/
565,2025,Indian Express - Entertainment,565,"De De Pyaar De 2 box office collection day 1: Ajay Devgn-starrer lags behind Raid 2, Shaitaan; earns Rs 8.5 crore",,,Ajay Devgn;bollywood;box office;box office collection;Javed Jaffrey;R Madhavan;Rakul Preet Singh,https://indianexpress.com/article/entertainment/bollywood/de-de-pyaar-de-2-box-office-collection-day-1-ajay-devgn-madhavan-earns-less-than-raid-2-shaitaan-rs-8-crore-10366847/
566,2025,Indian Express - Entertainment,566,De De Pyaar De 2 box office collection day 1 early estimates: Ajay Devgn’s rom-com crosses Rs 5 crore mark; trails behind De De Pyaar De’s opening-day figure,,,Ajay Devgn;R Madhavan;Rakul Preet Singh,https://indianexpress.com/article/entertainment/bollywood/de-de-pyaar-de-2-box-office-collection-day-1-early-estimates-ajay-devgns-rom-com-crosses-rs-5-crore-mark-10366005/
567,2025,Indian Express - Entertainment,567,"Deepika Padukone believes overworking has been normalised, says ‘8 hours of work is enough’: ‘We mistake burnout for commitment’",,,Deepika Padukone;Ranveer Singh,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-overworking-normalised-8-hours-of-work-is-enough-mistake-burnout-for-commitment-10367011/
568,2025,Indian Express - Entertainment,568,"Dining with the Kapoors trailer: Alia Bhatt missing from grand Kapoor family lunch as Ranbir Kapoor, Saif Ali Khan attend; Neetu Kapoor calls Kareena ‘dramatic’",,,Alia Bhatt;Armaan jain;Kareena Kapoor Khan;Karisma Kapoor;Krishna Raj Kapoor;Neetu Kapoor;Raj Kapoor;Ranbir Kapoor;Saif Ali Khan,https://indianexpress.com/article/entertainment/bollywood/dining-with-the-kapoors-trailer-alia-bhatt-skips-ranbir-kareena-saif-ali-khan-remember-raj-kapoor-watch-10367150/
569,2025,Indian Express - Entertainment,569,"Farah Khan insists that cook Dilip eat with everyone at the dining table, but he refuses: ‘Kitchen mein ache se kha paata hu’",,,farah khan,https://indianexpress.com/article/entertainment/bollywood/farah-khan-insists-that-cook-dilip-eat-with-everyone-at-the-dining-table-but-he-refuses-10365441/
570,2025,Indian Express - Entertainment,570,Kamini Kaushal (1927-2025): Late actor’s family and pets pay last respect at funeral,,,A post shared by Viral Bhayani (@viralbhayani),https://indianexpress.com/article/entertainment/bollywood/kamini-kaushal-funeral-family-pets-pays-last-respect-10366160/
571,2025,Indian Express - Entertainment,571,Karisma Kapoor claims daughter Samaira’s college fees unpaid for 2 months amid inheritance dispute; HC judge tells lawyers to avoid ‘melodrama’,,,Karisma Kapoor;Priya Sachdev;Sunjay Kapur,https://indianexpress.com/article/entertainment/bollywood/karisma-kapoor-daughter-college-fees-unpaid-for-2-months-priya-sachdev-kapur-melodrama-high-court-judge-10366944/
572,2025,Indian Express - Entertainment,572,"Lakshmi Manchu jokes she wants to ‘whack’ Rakul Preet Singh: ‘Earlier I used to live with her, now she says let me ask Jackky’",,,Jackky Bhagnani;Lakshmi Manchu;Rakul Preet Singh,https://indianexpress.com/article/entertainment/bollywood/lakshmi-manchu-jokes-she-wants-to-whack-rakul-preet-singh-10367504/
573,2025,Indian Express - Entertainment,573,"Neeraj Ghaywan credits the authorities for being ‘fairly cooperative’ with Homebound, says the film ‘isn’t anti establishment’",,,bollywood;Ishaan Khatter;Karan Johar;Martin Scorsese;Neeraj Ghaywan,https://indianexpress.com/article/entertainment/bollywood/neeraj-ghaywan-credits-authorities-for-being-fairly-cooperative-with-homebound-10367305/
574,2025,Indian Express - Entertainment,574,Zaheer Iqbal says ‘not going to convert’ wife Sonkashi Sinha as they visit Dubai mosque: ‘Special Marriage Act zindabad”,,,Sonakshi Sinha,https://indianexpress.com/article/entertainment/bollywood/not-going-to-convert-her-zaheer-iqbal-jokes-as-wife-sonakshi-sinha-visits-mosque-for-the-first-time-10365901/
575,2025,Indian Express - Entertainment,575,"Rajkummar Rao, Patralekhaa welcome baby girl on their fourth wedding anniversary: ‘We’re over the moon, greatest blessing’",,,A post shared by RajKummar Rao (@rajkummar_rao),https://indianexpress.com/article/entertainment/bollywood/rajkummar-rao-patralekhaa-welcome-baby-girl-on-fourth-wedding-anniversary-10366877/
