id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
60,2025,Indian Express - Sports,60,How Kuldeep Yadav’s ‘so-bad-that-it’s-good’ ball finally tamed the devastating Marco Jansen,,,India vs SA;India Vs South Africa;India vs South Africa ODIs;Kuldeep Yadav,https://indianexpress.com/article/sports/cricket/how-kuldeep-yadav-bad-good-ball-tamed-devastating-marco-jansen-10395647/
61,2025,Indian Express - Sports,61,‘I don’t know about Washington Sundar going ahead of him’: Kris Srikkanth asks KL Rahul to not bat below No. 5 for India,,,India Vs South Africa;KL Rahul;Washington Sundar,https://indianexpress.com/article/sports/cricket/i-dont-know-india-odi-number-5-srikkanth-kl-rahul-sundar-10395600/
62,2025,Indian Express - Sports,62,Virat Kohli confirms he’ll only play one form of game for India: ‘That’s how it’s always going to be’,,,India vs SA;Kohli;Virat Kohli,https://indianexpress.com/article/sports/cricket/ind-sa-virat-kohli-confirms-only-play-odi-cricket-india-10394871/
63,2025,Indian Express - Sports,63,"IND vs SA, 1st ODI: Marco Jansen, Corbin Bosch knock in vain as India beat South Africa by 17 runs to win thriller in Ranchi",,,India Vs South Africa,https://indianexpress.com/article/sports/cricket/india-beat-south-africa-17-runs-first-odi-ranchi-kohli-jansen-10394826/
64,2025,Indian Express - Sports,64,"Kevin Pietersen on Kohli-Rohit Test comeback rumours: ‘If true, it must be taken very seriously’",,,Cricket;Cricket News;Kevin Pietersen;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/kevin-pietersen-kohli-rohit-test-comeback-rumours-seriously-10394913/
65,2025,Indian Express - Sports,65,"‘If you go 2-0 down here in Australia, that’s the Ashes as good as done’: Michael Atherton warns England",,,Ashes tour;England vs Australia,https://indianexpress.com/article/sports/cricket/michael-atherton-warns-england-ashes-over-gabba-defeat-aus-10396035/
66,2025,Indian Express - Sports,66,New Zealand Vs West Indies 1st Test Live Streaming: When and where to watch NZ vs WI match?,,,New Zealand vs West Indies,https://indianexpress.com/article/sports/cricket/new-zealand-vs-west-indies-1st-test-live-streaming-watch-nz-vs-wi-10395836/
67,2025,Indian Express - Sports,67,"‘No point talking about Rohit Sharma and Virat Kohli’s 2027 World Cup participation now,’ says India batting coach Sitanshu Kotak",,,India Vs South Africa;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/no-point-rohit-sharma-virat-kohli-2027-world-cup-talk-ranchi-odi-kotak-10395632/
68,2025,Indian Express - Sports,68,"‘Pink ball, white ball, red ball – who really cares?’: Travis Head weighs in on Ashes day-night Test at Gabba",,,Travis Head,https://indianexpress.com/article/sports/cricket/pink-white-red-ball-who-cares-travis-head-daynight-ashes-2025-test-10395817/
69,2025,Indian Express - Sports,69,Syed Mushtaq Ali Trophy 2025: Abhishek Sharma’s smack day headlines SMAT Sunday,,,Cricket;Cricket News;Indian domestic cricket;Syed Mushtaq Ali;Syed Mushtaq Ali T20;Syed Mushtaq Ali T20 Trophy;Syed Mushtaq Ali Trophy;Syed Mushtaq Trophy,https://indianexpress.com/article/sports/cricket/syed-mushtaq-ali-trophy-abhishek-sharma-ayush-mhatre-shine-10394801/
70,2025,Indian Express - Sports,70,"Dale Steyn lauds Virat Kohli’s fitness after century in Ranchi: ‘Other 37 and 38-year-olds say they hate leaving home, their dog, their kids’",,,Dale Steyn;India Vs South Africa;Virat Kohli,https://indianexpress.com/article/sports/cricket/virat-kohli-century-dale-steyn-praises-37-years-india-vs-sa-10395990/
71,2025,Indian Express - Sports,71,"‘We’ll stitch it later’: Australia all-rounder Grace Harris splits webbing in WBBL match, continues playing with taped hand – WATCH",,,WBBL,https://indianexpress.com/article/sports/cricket/wbbl-2025-watch-grace-harris-split-webbing-bowling-three-stitches-10395252/
72,2025,Indian Express - Sports,72,"Arsenal held by 10-man Chelsea, Isak sets up much-needed Liverpool win and Man United beats Palace",,,Arsenal;English Premier League;liverpool,https://indianexpress.com/article/sports/football/arsenal-10-man-chelsea-liverpool-win-man-united-win-10394956/
73,2025,Indian Express - Sports,73,Could the FIFA World Cup draw kill the excitement of the Group of Death?,,,fifa world cup;Football World Cup,https://indianexpress.com/article/sports/football/could-fifa-world-cup-draw-kill-excitement-of-the-group-of-death-10395422/
74,2025,Indian Express - Sports,74,Deco explains why Marcus Rashford ‘suffered’ at Manchester United but is thriving at Barcelona,,,Marcus Rashford,https://indianexpress.com/article/sports/football/deco-marcus-rashford-suffered-manchester-united-thriving-barcelona-10395287/
75,2025,Indian Express - Sports,75,‘I’m sorry I’m not perfect’: Lucas Paqueta reacts to his red card in West Ham United’s 2-0 defeat to Liverpool in Premier League,,,liverpool;Premier league;West Ham;West Ham United,https://indianexpress.com/article/sports/football/im-sorry-not-perfect-lucas-paqueta-red-card-west-ham-vs-liverpool-10396036/
76,2025,Indian Express - Sports,76,"‘Poor Florian Wirtz’: Bayern chief Uli Hoeness slams Liverpool’s ‘catastrophic season’, accuses Mo Salah and others of keeping the ball instead of passing",,,liverpool,https://indianexpress.com/article/sports/football/uli-hoeness-slams-liverpool-florian-wirtz-mohamed-salah-10396191/
77,2025,Indian Express - Sports,77,"FIH Junior World Cup: From 1-3 down, France score seven goals to stun Australia 8-3; Spain beat Belgium as QF race heats up",,,Hockey Junior World Cup,https://indianexpress.com/article/sports/hockey/fih-junior-world-cup-france-8-goals-comeback-australia-spain-belgium-qf-race-10395214/
78,2025,Indian Express - Sports,78,"Hockey, Junior World Cup: Meet India captain Rohit, a powerful drag-flicker from Hisar who idolises Harmanpreet Singh",,,hockey;Hockey Junior World Cup;hockey news;Junior Hockey WC,https://indianexpress.com/article/sports/hockey/junior-world-cup-meet-india-captain-rohit-hisar-drag-flicker-10394907/
79,2025,Indian Express - Sports,79,Max Verstappen wins Qatar GP as F1 title fight with Norris and Piastri goes to final race,,,Formula One;Max Verstappen;Motor Sport;Motor sports;Motor Sports News,https://indianexpress.com/article/sports/motor-sport/max-verstappen-wins-qatar-gp-f1-title-fight-norris-piastri-10394944/
80,2025,Indian Express - Sports,80,"Syed Modi, the street smart shuttler who played with unfailing accuracy, loved butter chicken and Bachchan movies",,,Syed Modi International tournament,https://indianexpress.com/article/sports/badminton/syed-modi-street-smart-shuttler-legacy-butter-chicken-bachchan-movies-10393918/
81,2025,Indian Express - Sports,81,"Treesa Jolly-Gayatri Gopichand retain Syed Modi crown with 17-21, 21-13, 21-15 win over Osawa-Tanabe",,,badminton;Indian badminton;Syed Modi International tournament,https://indianexpress.com/article/sports/badminton/treesa-jolly-gayatri-gopichand-retain-syed-modi-crown-10394546/
82,2025,Indian Express - Sports,82,"148 off 52 balls, 16 sixes! Abhishek Sharma shatters T20 records in SMAT 2025 carnage as Punjab record 310 in Hyderabad",,,Abhishek Sharma,https://indianexpress.com/article/sports/cricket/abhishek-sharma-fastest-t20-fifty-hundred-yuvraj-record-smat-2025-10393853/
83,2025,Indian Express - Sports,83,"Andre Russell retires from IPL, will be KKR’s ‘power coach’",,,Andre Russell,https://indianexpress.com/article/sports/cricket/andre-russell-retires-ipl-2026-kkr-power-coach-10394368/
84,2025,Indian Express - Sports,84,"Ashes don’t need pink-ball Tests, says Joe Root",,,Joe Root,https://indianexpress.com/article/sports/cricket/ashes-dont-need-pink-ball-tests-says-joe-root-10394223/
85,2025,Indian Express - Sports,85,Bavuma’s Indian summer in November: Favourite Hindi word – ‘theek hai’ and choosing butter chicken over peri peri chicken,,,Cricket;India Vs South Africa;South Africa;Temba Bavuma,https://indianexpress.com/article/sports/cricket/bavuma-indian-summer-in-november-favourite-hindi-word-theek-hai-10394464/
86,2025,Indian Express - Sports,86,How Rohit Sharma became the batsman with most sixes in ODIs,,,Cricket;Cricket News;India Vs South Africa;India vs South Africa ODIs;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/how-rohit-sharma-became-the-batsman-with-most-sixes-in-odis-10394668/
87,2025,Indian Express - Sports,87,India vs South Africa 1st ODI: Will Ruturaj Gaikwad find a place in the starting lineup in Ranchi?,,,India Vs South Africa,https://indianexpress.com/article/sports/cricket/ind-vs-sa-1st-odi-playing-11-today-match-india-vs-south-africa-match-prediction-squad-players-list-10393586/
88,2025,Indian Express - Sports,88,IND vs SA: Rohit Sharma breaks Shahid Afridi’s world record for most ODI sixes in history,,,India Vs South Africa;Rohit Sharma;Shahid Afridi,https://indianexpress.com/article/sports/cricket/ind-vs-sa-rohit-sharma-breaks-shahid-afridi-world-record-most-odi-sixes-10394320/
89,2025,Indian Express - Sports,89,"IND vs SA: Rohit Sharma, Virat Kohli break Sachin Tendulkar and Rahul Dravid’s Indian record in 392nd match together in Ranchi ODI",,,India Vs South Africa;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/ind-vs-sa-rohit-sharma-virat-kohli-break-tendulkar-dravid-india-match-record-ranchi-10394104/
90,2025,Indian Express - Sports,90,India vs South Africa 1st ODI HIGHLIGHTS: IND beat SA by 17 runs in first ODI in Ranchi,,,Cricket Live Score;Ind vs SA;India Vs South Africa;Live Score,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-live-cricket-score-1st-odi-ind-vs-sa-match-scorecard-jsca-international-stadium-ranchi-virat-kohli-rohit-sharma-10393994/
91,2025,Indian Express - Sports,91,"IND vs SA 1st ODI: When, Where and How to Watch India vs South Africa ODI Match?",,,Cricket;Cricket News;Ind vs SA;India Vs South Africa,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-live-streaming-1st-odi-ind-vs-sa-ranchi-10393552/
